,open,high,low,close,volume,value
2017-09-26 17:00:00,324500.0,328500.0,323500.0,327000.0,0.007,2282.5
2017-09-26 21:00:00,327000.0,328000.0,322500.0,323000.0,0.0086,2794.2
2017-09-27 01:00:00,323000.0,324000.0,321000.0,322000.0,0.0088,2840.1
2017-09-27 05:00:00,321500.0,324500.0,320000.0,321500.0,0.0088,2839.05
2017-09-27 09:00:00,321000.0,325500.0,320000.0,324500.0,0.0083,2677.8
2017-09-27 13:00:00,324000.0,327500.0,323500.0,326500.0,0.0076,2470.55
2017-09-27 17:00:00,326000.0,329500.0,326000.0,327000.0,0.0085,2784.35
2017-09-27 21:00:00,328500.0,331500.0,325500.0,331500.0,0.0088,2889.05
2017-09-28 01:00:00,330500.0,337000.0,328000.0,337000.0,0.0088,2911.05
2017-09-28 05:00:00,337000.0,342500.0,332500.0,342500.0,0.0087,2939.45
2017-09-28 09:00:00,342000.0,345500.0,338000.0,345500.0,0.0086,2926.9
2017-09-28 13:00:00,346500.0,346500.0,341000.0,341000.0,0.0087,2992.45
2017-09-28 17:00:00,341500.0,344000.0,328000.0,335000.0,0.0063,2119.05
2017-09-28 21:00:00,333500.0,337000.0,327000.0,332000.0,0.0086,2861.1
2017-09-29 01:00:00,329000.0,334500.0,328500.0,329000.0,0.0088,2918.15
2017-09-29 05:00:00,328500.0,335000.0,327500.0,332500.0,0.0087,2888.1
2017-09-29 09:00:00,331000.0,333500.0,312500.0,316500.0,0.0087,2835.45
2017-09-29 13:00:00,316000.0,326500.0,315500.0,326500.0,0.0086,2752.25
2017-09-29 17:00:00,326500.0,330000.0,322000.0,329000.0,0.0087,2827.35
2017-09-29 21:00:00,329000.0,333000.0,326000.0,326500.0,0.0088,2892.65
2017-09-30 01:00:00,327000.0,330000.0,325000.0,328500.0,0.0087,2850.5
2017-09-30 05:00:00,329000.0,330000.0,325500.0,327500.0,0.0088,2888.45
2017-09-30 09:00:00,327500.0,332500.0,327000.0,332500.0,0.0087,2871.5
2017-09-30 13:00:00,332000.0,335500.0,331000.0,334500.0,0.0087,2902.0
2017-09-30 17:00:00,335000.0,337000.0,331000.0,334500.0,0.0088,2939.05
2017-09-30 21:00:00,334000.0,337000.0,333000.0,336000.0,0.0087,2915.05
2017-10-01 01:00:00,337500.0,340000.0,334500.0,338500.0,0.0088,2965.9
2017-10-01 05:00:00,338000.0,341500.0,337000.0,341000.0,0.0088,2981.65
2017-10-01 09:00:00,341000.0,344000.0,334500.0,336000.0,0.0087,2951.7
2017-10-01 13:00:00,337000.0,340500.0,331500.0,338500.0,0.0087,2943.25
2017-10-01 17:00:00,338500.0,340500.0,338000.0,340000.0,0.0087,2951.9
2017-10-01 21:00:00,340000.0,341000.0,336500.0,340000.0,0.0087,2947.1
2017-10-02 01:00:00,340000.0,342500.0,340000.0,342000.0,0.0088,3004.0
2017-10-02 05:00:00,341500.0,344500.0,340000.0,342000.0,0.0088,3013.2
2017-10-02 09:00:00,342000.0,346000.0,338500.0,342000.0,0.0087,2973.9
2017-10-02 13:00:00,342000.0,346000.0,342000.0,343000.0,0.0087,2989.25
2017-10-02 17:00:00,342500.0,345000.0,341500.0,342000.0,0.0087,2988.9
2017-10-02 21:00:00,340500.0,343500.0,339000.0,339500.0,0.0087,2963.7
2017-10-03 01:00:00,339000.0,341000.0,336500.0,340500.0,0.0088,2982.7
2017-10-03 05:00:00,340500.0,342000.0,338000.0,340000.0,0.0088,2991.1
2017-10-03 09:00:00,340000.0,343000.0,338500.0,342500.0,0.0087,2961.65
2017-10-03 13:00:00,342000.0,345500.0,335000.0,336000.0,0.0086,2941.65
2017-10-03 17:00:00,335500.0,336000.0,324000.0,334500.0,0.0079,2630.65
2017-10-03 21:00:00,337000.0,337000.0,329500.0,335500.0,0.0079,2631.85
2017-10-04 01:00:00,334500.0,338000.0,331500.0,333500.0,0.008,2672.05
2017-10-04 05:00:00,333500.0,338000.0,332000.0,338000.0,0.0076,2540.75
2017-10-04 09:00:00,336000.0,339000.0,333500.0,336000.0,0.0077,2590.45
2017-10-04 13:00:00,338500.0,341500.0,335000.0,339500.0,0.0084,2843.55
2017-10-04 17:00:00,340000.0,343000.0,336500.0,340500.0,0.0084,2858.7
2017-10-04 21:00:00,340000.0,342000.0,336000.0,339000.0,0.0076,2582.15
2017-10-05 01:00:00,341000.0,342000.0,337000.0,339500.0,0.0077,2614.6
2017-10-05 05:00:00,340000.0,341000.0,336500.0,338000.0,0.0075,2540.9
2017-10-05 09:00:00,339500.0,341500.0,335500.0,337500.0,0.0082,2773.1
2017-10-05 13:00:00,335500.0,338000.0,333000.0,337500.0,0.0079,2651.35
2017-10-05 17:00:00,337500.0,340500.0,334500.0,337500.0,0.008,2701.55
2017-10-05 21:00:00,337000.0,340000.0,335500.0,337500.0,0.0076,2567.3
2017-10-06 01:00:00,336500.0,341000.0,335500.0,336500.0,0.0082,2773.75
2017-10-06 05:00:00,339500.0,341500.0,335000.0,337500.0,0.0078,2640.45
2017-10-06 09:00:00,338000.0,341000.0,335500.0,339000.0,0.0074,2504.7
2017-10-06 13:00:00,339500.0,343000.0,338000.0,342000.0,0.0074,2517.8
2017-10-06 17:00:00,342500.0,344500.0,335500.0,340500.0,0.0085,2895.8
2017-10-06 21:00:00,342500.0,345500.0,339500.0,344500.0,0.0087,2981.4
2017-10-07 01:00:00,343500.0,346500.0,340000.0,346000.0,0.0087,2986.4
2017-10-07 05:00:00,345500.0,357000.0,342500.0,356000.0,0.0087,3027.55
2017-10-07 09:00:00,356000.0,360000.0,351000.0,351500.0,0.0087,3088.55
2017-10-07 13:00:00,352000.0,357000.0,350000.0,351500.0,0.0087,3072.4
2017-10-07 17:00:00,352000.0,356000.0,349500.0,352500.0,0.0087,3069.35
2017-10-07 21:00:00,351500.0,355500.0,349500.0,354000.0,0.0087,3069.5
2017-10-08 01:00:00,354000.0,358000.0,351000.0,353500.0,0.0087,3084.45
2017-10-08 05:00:00,354000.0,356500.0,350000.0,354500.0,0.0086,3038.05
2017-10-08 09:00:00,353000.0,357000.0,350500.0,354000.0,0.0087,3080.35
2017-10-08 13:00:00,355500.0,356000.0,350000.0,355000.0,0.0087,3069.9
2017-10-08 17:00:00,355500.0,355500.0,349500.0,351000.0,0.0087,3063.8
2017-10-08 21:00:00,352000.0,354500.0,346000.0,353000.0,0.0086,3015.05
2017-10-09 01:00:00,355000.0,355000.0,349500.0,350000.0,0.0086,3027.15
2017-10-09 05:00:00,352500.0,354500.0,341000.0,349500.0,0.0086,3011.15
2017-10-09 09:00:00,349500.0,354000.0,346500.0,350000.0,0.0087,3049.35
2017-10-09 13:00:00,346000.0,352500.0,343000.0,350500.0,0.0086,2992.0
2017-10-09 17:00:00,348500.0,353000.0,346000.0,350000.0,0.0087,3044.45
2017-10-09 21:00:00,351500.0,352500.0,341500.0,343000.0,0.0086,2993.55
2017-10-10 01:00:00,343500.0,349000.0,334000.0,335500.0,0.0086,2929.0
2017-10-10 05:00:00,345000.0,349500.0,336000.0,339500.0,0.0087,2980.7
2017-10-10 09:00:00,340500.0,345000.0,334000.0,343500.0,0.0086,2927.05
2017-10-10 13:00:00,340000.0,348000.0,339500.0,344000.0,0.0085,2914.5
2017-10-10 17:00:00,343000.0,348500.0,342000.0,345500.0,0.0085,2928.4
2017-10-10 21:00:00,342500.0,353000.0,342500.0,353000.0,0.0086,2993.9
2017-10-11 01:00:00,352000.0,352500.0,341000.0,341000.0,0.0087,3012.55
2017-10-11 05:00:00,341000.0,347500.0,341000.0,344000.0,0.0087,3001.55
2017-10-11 09:00:00,348000.0,351000.0,343500.0,350500.0,0.0085,2955.55
2017-10-11 13:00:00,348000.0,352500.0,346000.0,349000.0,0.0084,2935.15
2017-10-11 17:00:00,349000.0,350000.0,342500.0,345000.0,0.0085,2944.7
2017-10-11 21:00:00,346500.0,350500.0,343000.0,346000.0,0.0085,2953.35
2017-10-12 01:00:00,346000.0,350000.0,342500.0,345500.0,0.0086,2983.9
2017-10-12 05:00:00,345000.0,350500.0,343500.0,348000.0,0.0086,2993.25
2017-10-12 09:00:00,350500.0,354000.0,345000.0,354000.0,0.0085,2980.7
2017-10-12 13:00:00,354000.0,356500.0,350000.0,354000.0,0.0084,2972.5
2017-10-12 17:00:00,350000.0,355000.0,347000.0,350000.0,0.0086,3016.5
2017-10-12 21:00:00,350000.0,354000.0,347500.0,352000.0,0.0085,2975.65
2017-10-13 01:00:00,352500.0,354500.0,345500.0,351500.0,0.0085,2977.6
2017-10-13 05:00:00,352000.0,356500.0,349000.0,354000.0,0.0086,3033.2
